"hh_id","hh_cluster","hhweight","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","monthly_exp","monthly_exp_per_cap","country","dried","fresh","any_fish"
"2_324_2","2_324",395.712524414063,7101,14.80466676,-16.92694455,"urban",8,4,4,50300,6287.5,"SEN","yes","yes","yes"
"2_526_2","2_526",209.692337036133,7101,14.14828503,-15.28603317,"rural",6,3,3,5000,833.333333333333,"SEN","yes","yes","yes"
"2_431_3","2_431",239.374450683594,7101,12.77186037,-14.94600431,"rural",6,2,4,3500,583.333333333333,"SEN","yes","yes","yes"
"1_208_9","1_208",237.063842773438,7101,15.9996792,-16.4869715,"urban",3,3,0,7400,2466.66666666667,"SEN","no","no","no"
"2_560_1","2_560",64.0836029052734,7101,12.44355515,-11.37417819,"rural",8,3,5,6000,750,"SEN","no","yes","yes"
"1_546_3","1_546",69.32568359375,7101,12.5423902,-12.2191362,"rural",19,9,10,9600,505.263157894737,"SEN","no","no","no"
"2_590_1","2_590",67.8582229614258,7101,12.56979708,-15.67807812,"urban",13,5,8,5250,403.846153846154,"SEN","no","yes","yes"
"2_405_2","2_405",75.4841461181641,7101,13.9858149,-16.2562793,"urban",8,7,1,74950,9368.75,"SEN","yes","yes","yes"
"1_49_4","1_49",386.681671142578,7101,14.7593521,-17.3915714,"urban",5,2,3,21100,4220,"SEN","yes","yes","yes"
"1_582_12","1_582",180.779968261719,7101,13.2420642,-15.4935532,"rural",25,12,13,18000,720,"SEN","yes","yes","yes"
"1_220_1","1_220",217.781204223633,7101,14.7244254,-12.3394244,"rural",15,7,8,8450,563.333333333333,"SEN","yes","yes","yes"
"1_345_2","1_345",106.60285949707,7101,15.4772716,-16.3402398,"urban",7,3,4,6500,928.571428571429,"SEN","yes","yes","yes"
"2_174_1","2_174",187.847030639648,7101,16.47524379,-15.71801313,"urban",10,5,5,5000,500,"SEN","yes","yes","yes"
"2_96_1","2_96",213.403762817383,7101,12.95155592,-16.52090715,"rural",12,7,5,6000,500,"SEN","yes","yes","yes"
"1_81_4","1_81",350.731658935547,7101,14.784037,-17.3711283,"urban",5,3,2,46350,9270,"SEN","no","yes","yes"
"2_86_1","2_86",640.374877929688,7101,14.76754919,-17.38551526,"urban",11,5,6,25200,2290.90909090909,"SEN","yes","yes","yes"
"1_150_10","1_150",119.871246337891,7101,14.7892209,-15.9138928,"urban",2,2,0,8600,4300,"SEN","yes","yes","yes"
"2_433_2","2_433",239.873153686523,7101,12.70731831,-14.47740078,"rural",15,5,10,8500,566.666666666667,"SEN","yes","yes","yes"
