Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S
China,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,,0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2551,,11025,,2052,,49,,2093,,0,...,329,,0,...,0,...,0,...,0,...,0,...,0,...
China,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,,287,,18075,,560,,648,,877,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Comoros,"Anchovies, etc. nei","Indian Ocean, Western",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,I,100,I,100,I,110,I,120,I,120,I,120,I,120,I,120,I,130,I,500,,1000,,1200,,1000,,870,,870,,900,I,900,I,900,I,900,I,850,I,950,I,850,,850,,900,,950,,950,,950,I,1100,I,1100,I,1100,,1100,I,1100,,1000,,500,I,14,,0,,0,,0,,0,,0,,0,I,0,I,0,I
Comoros,European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,2662,,4098,,1250,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Comoros,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,643,,4373,,4222,,976,,389,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Comoros,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,933,,2871,,7286,,12274,,11565,,13636,,7026,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Comoros,Sardinellas nei,"Indian Ocean, Western",Tonnes - live weight,"TLW, Number",100,,200,,300,,200,,200,,100,,100,,100,,100,,200,,200,,300,,300,,300,,300,,400,,500,,500,,600,,600,,800,,900,,900,,900,,1000,,1200,,1000,,1200,,1200,,1230,I,1260,I,1320,I,1380,I,1440,I,1500,I,1560,I,1610,I,1610,I,1690,I,1000,,1000,,1000,,1000,,1000,,1000,,1000,I,1000,I,1000,I,1000,I,950,I,1050,I,1000,,1000,,1000,,1150,,1000,,1000,I,1150,I,1150,I,1150,,1150,I,1150,,1150,,1180,I,1216,,0,,194,,79,,39,,59,,50,I,50,I,50,I
Congo,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,31,,30,,30,,420,,914,,1025,,481,,32,,100,I,200,I,400,I,500,I,1000,I,1903,,1684,,2000,I,2300,I,2300,I,2500,I,2500,I,2000,I,2000,I,989,,1208,,987,,801,,716,,1402,,1436,,1586,,1333,,1518,,1275,,1182,,1286,,1827,,1782,,1790,,1165,,1054,,1045,,1086.03,
Congo,Madeiran sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4315,,7217,,2451,,3204,,2182,,3946,,4723,,4780,,10552,,4827,,3105,,5108,,5612,,875,,2547,,5128,,2125,,2058,,1525,,1087.1,
Congo,Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3073,,3828,,4541,,4308,,4166,,4637,,7400,,4050,,8236,,13949,,12773,,14236,,11187,,17377,,20177,,20710,,11127.83,,10216,,9442,,7528.94,
Congo,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2100,,2100,,2100,,2300,,2300,,2500,,2500,,3000,,3000,,3200,,3200,,3200,,3600,,3500,,4000,,2200,,2200,,2200,,2900,,2800,,3099,,2420,,7000,,6700,,6353,,5200,,5741,,4957,,4472,,6801,,6256,,9929,,12598,,13643,,12835,,10251,,11620,,11303,,14325,,11000,I,10500,I,9205,,9000,I,8500,I,10914,,11600,I,11200,I,10200,I,9300,I,9300,I,9500,I,8500,I,7500,I,97,,639,,383,,614,,554,,981,,100,,462,,924,,993,,429,,690,,420,,533,,372,,894,,475,,359,,323,,226.28,
Cuba,European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Cuba,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,575,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Cuba,Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,100,,1400,,0,,0,,0,,0,,0,,0,,0,,200,,0,,0,,0,,0,,0,,1070,,499,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,,93,,0,,1510,,1575,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Cyprus,European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,35,,11879,,16800,,8015,,21124,,5772,,8927,,4516,,2832,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Cyprus,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,,12,,184,,6,,409,,1454,,148,,912,,2611,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Cyprus,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,2172,,4492,,13209,,7379,,11927,,2034,,4248,,3835,,1773,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Côte d'Ivoire,Bonga shad,Africa - Inland waters,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,645,,672,,805,,782,,919,,880,,895,,4745,,4766,,4121,,4061,,4060,I,4060,I,4060,I,4060,I
Côte d'Ivoire,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",5000,,5000,,6000,,6000,,6000,,6000,,6000,,8000,,8000,,9000,,10000,,10000,,10000,,10000,,15000,,15000,,16000,,16000,,16000,,15000,,14000,,14000,,14000,,14000,,14000,,14000,,14000,,14000,,14000,,14000,,13000,,11000,,10000,,12000,,12000,,12000,,12000,,12000,,12000,,13000,,14000,,11000,,12000,,9500,,10000,,10000,I,9500,I,10000,I,9800,I,12000,I,11000,I,10200,I,9370,,7000,I,4500,I,46,,26,,38,,11,,9,,13,,105,,16,,12,,210,,83,,161,,28,,19,,18.47,I,11.38,I,20,I,20,I
