"hh_id","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","country"
"1_161_7",12774,9.7236779,-6.0277411,"rural",2,2,0,"CIV"
"2_126_13",12774,7.3867267,-6.4761774,"urban",1,1,0,"CIV"
"1_529_13",12774, , ,"urban",6,3,3,"CIV"
"1_441_4",12774,6.8563602,-5.7643729,"rural",5,2,3,"CIV"
"2_74_5",12774,5.41931429877877,-3.99250055663288,"urban",4,3,1,"CIV"
"2_178_12",12774,7.7380756,-5.3876577,"rural",1,1,0,"CIV"
"1_219_3",12774,6.7148091,-3.4981464,"urban",6,4,2,"CIV"
"2_934_11",12774,7.0508887,-3.8343908,"rural",6,4,2,"CIV"
"2_180_3",12774,7.78795698657632,-5.17208285629749,"urban",6,5,1,"CIV"
"2_584_9",12774,6.22897060588002,-5.22303812205791,"rural",4,2,2,"CIV"
"1_457_1",12774,6.5762311,-5.8448216,"rural",3,1,2,"CIV"
"2_104_6",12774,7.06048528198153,-6.71567277051508,"urban",6,4,2,"CIV"
"2_534_3",12774,5.72779662441462,-5.4323782492429,"rural",7,2,5,"CIV"
"1_791_11",12774,9.8169016,-7.3873789,"rural",6,5,1,"CIV"
"1_1059_9",12774,6.6669085,-3.9718624,"urban",1,1,0,"CIV"
"1_959_9",12774, , ,"rural",4,2,2,"CIV"
"2_864_11",12774,7.159145437181,-7.1845680847764,"rural",5,2,3,"CIV"
"2_130_6",12774,7.37594244070351,-6.46481514908373,"rural",6,3,3,"CIV"
"2_498_7",12774,5.215915,-3.7446087,"urban",2,2,0,"CIV"
"1_1043_3",12774, , ,"rural",8,2,6,"CIV"
"2_910_7",12774,7.99881981220096,-4.56275965087116,"rural",4,2,2,"CIV"
"1_923_11",12774,8.6606825,-5.2815366,"urban",1,1,0,"CIV"
"1_919_9",12774,8.1260593,-5.1773079,"rural",1,1,0,"CIV"
"1_231_12",12774,6.8638915,-3.4861949,"rural",3,1,2,"CIV"
"2_130_4",12774,7.37594244070351,-6.46481514908373,"rural",7,3,4,"CIV"
"1_173_5",12774,7.5033813,-5.6036253,"rural",3,2,1,"CIV"
"2_600_4",12774,5.90201842132956,-5.90772771276534,"rural",3,2,1,"CIV"
"1_35_11",12774, , ,"urban",11,5,6,"CIV"
"2_732_9",12774,6.55538714490831,-5.02935966476798,"urban",8,6,2,"CIV"
"1_723_6",12774, , ,"urban",5,4,1,"CIV"
"1_673_10",12774,8.2384856,-7.8677199,"urban",2,1,1,"CIV"
"1_531_6",12774, , ,"urban",6,4,2,"CIV"
"1_159_10",12774,9.2886089,-6.2377935,"rural",8,4,4,"CIV"
"1_119_4",12774,7.4784815,-6.9974178,"rural",7,2,5,"CIV"
"1_863_9",12774,7.1378882,-7.1811859,"urban",1,1,0,"CIV"
"1_785_1",12774,10.0211078,-7.1991626,"urban",5,3,2,"CIV"
"1_71_7",12774,5.3413454,-4.1261815,"urban",6,2,4,"CIV"
"2_582_12",12774,6.1291027860716,-4.89043565467,"rural",9,4,5,"CIV"
"1_289_2",12774,6.8234257,-5.0902488,"rural",6,1,5,"CIV"
"2_138_6",12774,9.30724273435771,-5.78469176776707,"rural",2,1,1,"CIV"
"1_485_13",12774,5.2852142,-3.3113905,"urban",4,2,2,"CIV"
"2_788_11",12774,9.87959860358387,-7.21903103403747,"rural",4,2,2,"CIV"
"2_330_13",12774,8.4379489,-2.7198884,"rural",5,2,3,"CIV"
"2_472_12",12774,5.60844955500215,-3.33602394908667,"rural",3,2,1,"CIV"
"1_723_4",12774, , ,"urban",6,2,4,"CIV"
"1_667_3",12774,8.7367101,-7.4941155,"urban",6,2,4,"CIV"
"2_980_4",12774,6.25080994796008,-3.54665304534137,"urban",7,3,4,"CIV"
"2_758_9",12774,8.46423315815628,-6.19868008419871,"rural",8,3,5,"CIV"
"1_523_10",12774, , ,"rural",12,4,8,"CIV"
"1_7_10",12774, , ,"urban",1,1,0,"CIV"
"1_465_12",12774,7.4286478,-6.0544332,"urban",1,1,0,"CIV"
"2_764_8",12774,9.27313040010631,-2.99601196311414,"urban",7,5,2,"CIV"
"1_433_2",12774,6.894237,-6.1525828,"urban",10,5,5,"CIV"
"2_188_2",12774,7.67065610736609,-5.06994601339102,"urban",1,1,0,"CIV"
"2_500_10",12774,5.28172665741295,-2.90985999628901,"rural",5,3,2,"CIV"
"2_156_2",12774,9.52184644527733,-5.7341447006911,"rural",3,3,0,"CIV"
"2_28_11",12774,5.24957279674709,-3.94413798116148,"urban",6,3,3,"CIV"
"2_302_8",12774,6.77964173723012,-5.27232756838202,"urban",2,2,0,"CIV"
"2_364_1",12774,4.75101074203849,-6.93436123430729,"rural",4,2,2,"CIV"
"1_479_8",12774,5.9610619,-3.1750028,"rural",7,4,3,"CIV"
"1_837_5",12774, , ,"urban",3,2,1,"CIV"
"1_905_3",12774,8.2620933,-4.5789218,"rural",5,2,3,"CIV"
"2_326_10",12774,8.1724073,-2.7085735,"urban",3,2,1,"CIV"
"1_67_13",12774,5.3215066,-4.0983044,"urban",6,5,1,"CIV"
"1_829_9",12774,5.1831395,-5.7879432,"rural",4,2,2,"CIV"
"1_851_3",12774,5.1914181,-5.4502045,"rural",4,2,2,"CIV"
"1_707_14",12774,10.4819479,-6.4142438,"urban",3,2,1,"CIV"
"1_43_14",12774, , ,"urban",4,2,2,"CIV"
"2_678_1",12774,7.8847278,-7.6710211,"rural",8,4,4,"CIV"
"2_760_1",12774,8.39815559796989,-6.04577816091478,"rural",7,4,3,"CIV"
"1_633_2",12774,6.4731107,-5.6088981,"rural",3,2,1,"CIV"
"1_23_10",12774, , ,"urban",4,2,2,"CIV"
"2_170_7",12774,9.51213236432523,-5.48016272485256,"rural",5,2,3,"CIV"
"2_348_7",12774,7.4945868,-3.1240577,"rural",1,1,0,"CIV"
"1_449_13",12774,6.6561768,-5.6065357,"urban",3,2,1,"CIV"
"1_693_2",12774,9.5193321,-6.323351,"rural",7,6,1,"CIV"
"1_223_7",12774,7.02823641244322,-3.68337169289589,"rural",1,1,0,"CIV"
"2_338_4",12774,7.9608558,-3.8964524,"rural",6,2,4,"CIV"
"2_94_8",12774,6.86529938131571,-6.44629416055977,"urban",2,1,1,"CIV"
"1_421_6",12774,6.642281,-4.7070436,"urban",1,1,0,"CIV"
"2_120_11",12774,6.96979153901339,-6.89628610387444,"rural",8,6,2,"CIV"
"1_443_6",12774,6.7884726,-5.8717126,"rural",5,2,3,"CIV"
"2_692_14",12774,9.51959108468145,-6.19108155369759,"urban",2,2,0,"CIV"
"2_472_1",12774,5.60844955500215,-3.33602394908667,"rural",1,1,0,"CIV"
"1_1009_6",12774,5.519211,-6.8357052,"rural",5,4,1,"CIV"
"2_634_9",12774,6.36197963263839,-5.71245753206313,"rural",2,2,0,"CIV"
"1_537_11",12774,6.1172197,-5.3009939,"rural",2,2,0,"CIV"
"2_238_4",12774,6.91202735994011,-3.24384002946317,"rural",5,2,3,"CIV"
"1_927_4",12774,9.1322774,-5.161851,"rural",1,1,0,"CIV"
"1_1015_12",12774,5.9123678,-6.4875393,"rural",8,3,5,"CIV"
