y4_hhid,hh_a06,hh_a13,y4_rural,domain,strataid,clusterid,wardtype,clustertype,y4_weights,occ,hh_a01_1,hh_a01_2,hh_a02_1,hh_a02_2,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,hh_a07_1,hh_a07_2,hh_a08,hh_a09,hh_a10,hh_a11,hh_a12_2,hh_a12_1,hh_a14,hh_a15,hh_a16,hh_a17_1,hh_a17_2,hh_a18,hh_a18_1,hh_a18_2,hh_a18_3,hh_a19,hh_a20,hh_a21,hh_a21_1,hh_a21_2,hh_a21_3,hh_a22,hh_a23,hh_a24,hh_a24_1,hh_a24_2,hh_a24_3,hh_a25,hh_a26,hh_a26_1,hh_a26_2,hh_a26_3,hh_a27
0029-001,29,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,10330.239,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,308,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0145-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,14,5,13,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20078,21,DECEMBER,2014,**CONFIDENTIAL**,10,20079,22,DECEMBER,2014,103,28012016,28,JANUARY,2016,YES
0030-001,30,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,2685.6809,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,308,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0146-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,22,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20078,21,DECEMBER,2014,**CONFIDENTIAL**,10,20078,21,DECEMBER,2014,103,27012016,27,JANUARY,2016,YES
0031-001,31,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,9988.9102,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,308,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0147-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,13,5,11,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20080,23,DECEMBER,2014,**CONFIDENTIAL**,10,20083,26,DECEMBER,2014,103,29012016,29,JANUARY,2016,YES
0032-001,32,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,10191.228,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,308,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0148-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,15,10,53,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20078,21,DECEMBER,2014,**CONFIDENTIAL**,10,20078,21,DECEMBER,2014,103,27012016,27,JANUARY,2016,YES
0033-001,33,1,RURAL,MAINLAND RURAL,MOROGORO - URBAN,2401001,,,27492.174,1,ARUSHA,ARUSHA,4,KARATU,121,**CONFIDENTIAL**,0,**CONFIDENTIAL**,13,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0182-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,8,11,20262,23,JUNE,2015,**CONFIDENTIAL**,1,20262,23,JUNE,2015,**CONFIDENTIAL**,10,20263,24,JUNE,2015,107,4022016,4,FEBRUARY,2016,YES
0034-001,34,1,URBAN,DAR ES SALAAM,MOROGORO - URBAN,2401001,,,3917.5955,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0182-002,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,52,9,9,20243,4,JUNE,2015,**CONFIDENTIAL**,5,20243,4,JUNE,2015,**CONFIDENTIAL**,50,20244,5,JUNE,2015,,,,,,YES
0036-001,36,1,RURAL,MAINLAND RURAL,MOROGORO - URBAN,2401001,,,18363.148,1,ARUSHA,ARUSHA,4,KARATU,121,**CONFIDENTIAL**,0,**CONFIDENTIAL**,13,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0184-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,22,20262,23,JUNE,2015,**CONFIDENTIAL**,1,20262,23,JUNE,2015,**CONFIDENTIAL**,10,20262,23,JUNE,2015,107,3022016,3,FEBRUARY,2016,YES
0037-001,37,1,RURAL,MAINLAND RURAL,MOROGORO - URBAN,2401001,,,21645.443,1,ARUSHA,ARUSHA,1,MONDULI,93,**CONFIDENTIAL**,0,**CONFIDENTIAL**,23,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0184-004,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,4,0,20067,10,DECEMBER,2014,**CONFIDENTIAL**,1,20068,11,DECEMBER,2014,**CONFIDENTIAL**,10,20075,18,DECEMBER,2014,,,,,,YES
0038-001,38,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - URBAN,2401001,,,9767.9111,1,ARUSHA,ARUSHA,3,ARUSHA MJINI,103,**CONFIDENTIAL**,0,**CONFIDENTIAL**,304,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0185-002,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,13,5,15,20066,9,DECEMBER,2014,**CONFIDENTIAL**,1,20067,10,DECEMBER,2014,**CONFIDENTIAL**,10,20076,19,DECEMBER,2014,,,,,,YES
0039-001,39,1,RURAL,MAINLAND RURAL,MOROGORO - URBAN,2401001,,,18448.867,1,ARUSHA,ARUSHA,4,KARATU,111,**CONFIDENTIAL**,0,**CONFIDENTIAL**,12,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0185-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,2,53,20263,24,JUNE,2015,**CONFIDENTIAL**,1,20263,24,JUNE,2015,**CONFIDENTIAL**,10,20264,25,JUNE,2015,107,4022016,4,FEBRUARY,2016,YES
