y4_hhid,hh_a06,hh_a13,y4_rural,domain,strataid,clusterid,wardtype,clustertype,y4_weights,occ,hh_a01_1,hh_a01_2,hh_a02_1,hh_a02_2,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,hh_a07_1,hh_a07_2,hh_a08,hh_a09,hh_a10,hh_a11,hh_a12_2,hh_a12_1,hh_a14,hh_a15,hh_a16,hh_a17_1,hh_a17_2,hh_a18,hh_a18_1,hh_a18_2,hh_a18_3,hh_a19,hh_a20,hh_a21,hh_a21_1,hh_a21_2,hh_a21_3,hh_a22,hh_a23,hh_a24,hh_a24_1,hh_a24_2,hh_a24_3,hh_a25,hh_a26,hh_a26_1,hh_a26_2,hh_a26_3,hh_a27
0353-001,353,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9201360,,,3972.3931,1,MTWARA,MTWARA,2,NEWALA,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,360,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1580-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,52,5,58,20202,24,APRIL,2015,**CONFIDENTIAL**,5,20202,24,APRIL,2015,**CONFIDENTIAL**,50,20203,25,APRIL,2015,102,1092015,1,SEPTEMBER,2015,YES
0354-001,354,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9201360,,,2194.0469,1,MTWARA,MTWARA,2,NEWALA,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,360,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1580-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,5,21,20202,24,APRIL,2015,**CONFIDENTIAL**,5,20202,24,APRIL,2015,**CONFIDENTIAL**,50,20203,25,APRIL,2015,102,1092015,1,SEPTEMBER,2015,YES
0356-001,356,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,6041.8086,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1582-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,55,6,1,20062,5,DECEMBER,2014,**CONFIDENTIAL**,5,20063,6,DECEMBER,2014,**CONFIDENTIAL**,50,20064,7,DECEMBER,2014,105,12052015,12,MAY,2015,YES
0357-001,357,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,12155.209,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1583-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,50,3,17,20063,6,DECEMBER,2014,**CONFIDENTIAL**,5,20063,6,DECEMBER,2014,**CONFIDENTIAL**,50,20064,7,DECEMBER,2014,105,9052015,9,MAY,2015,YES
0357-003,357,3,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,5774.1685,1,MTWARA,MTWARA,2,NEWALA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1583-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,3,YES,**CONFIDENTIAL**,54,3,56,20064,7,DECEMBER,2014,**CONFIDENTIAL**,5,20064,7,DECEMBER,2014,**CONFIDENTIAL**,50,20065,8,DECEMBER,2014,105,19052015,19,MAY,2015,YES
0358-001,358,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,6257.897,1,MTWARA,MTWARA,2,NEWALA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1584-001,ORIGINAL HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,65,6,35,20462,9,JANUARY,2016,,,20462,9,JANUARY,2016,**CONFIDENTIAL**,70,20465,12,JANUARY,2016,,,,,,YES
0359-001,359,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,7737.5708,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1585-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,55,8,40,20064,7,DECEMBER,2014,**CONFIDENTIAL**,5,20064,7,DECEMBER,2014,**CONFIDENTIAL**,50,20065,8,DECEMBER,2014,105,13052015,13,MAY,2015,YES
0360-001,360,1,URBAN,MAINLAND OTHER URBAN,PWANI - URBAN,9205003,,,4165.2368,1,MTWARA,MTWARA,7,MASASI MJINI,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,96,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1586-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,54,4,12,20268,29,JUNE,2015,**CONFIDENTIAL**,5,20268,29,JUNE,2015,**CONFIDENTIAL**,50,20269,30,JUNE,2015,,,,,,YES
0361-001,361,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,7519.7393,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1587-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,53,3,36,20063,6,DECEMBER,2014,**CONFIDENTIAL**,5,20064,7,DECEMBER,2014,**CONFIDENTIAL**,50,20065,8,DECEMBER,2014,105,13052015,13,MAY,2015,YES
0362-001,362,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,12999.029,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1588-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,3,40,20063,6,DECEMBER,2014,**CONFIDENTIAL**,5,20063,6,DECEMBER,2014,**CONFIDENTIAL**,50,20064,7,DECEMBER,2014,105,16052015,16,MAY,2015,YES
0363-001,363,1,URBAN,DAR ES SALAAM,PWANI - URBAN,9205003,,,6994.04,1,DAR ES SALAAM,DAR ES SALAAM,3,TEMEKE,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,175,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1588-101,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,28,20167,20,MARCH,2015,**CONFIDENTIAL**,1,20167,20,MARCH,2015,**CONFIDENTIAL**,10,20168,21,MARCH,2015,,,,,,YES
0363-003,363,3,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,4762.9834,1,MTWARA,MTWARA,2,NEWALA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1588-101,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,3,YES,**CONFIDENTIAL**,65,9,30,20463,10,JANUARY,2016,,,20463,10,JANUARY,2016,**CONFIDENTIAL**,70,20473,20,JANUARY,2016,,,,,,YES
0364-001,364,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9205003,,,5866.4224,1,MTWARA,MTWARA,2,NEWALA,5,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1589-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,54,3,22,20063,6,DECEMBER,2014,**CONFIDENTIAL**,5,20063,6,DECEMBER,2014,**CONFIDENTIAL**,50,20064,7,DECEMBER,2014,105,12052015,12,MAY,2015,YES
0366-001,366,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,10056.16,1,MTWARA,MTWARA,3,MASASI (M),1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1621-004,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,4,YES,**CONFIDENTIAL**,52,12,0,20125,6,FEBRUARY,2015,**CONFIDENTIAL**,5,20126,7,FEBRUARY,2015,**CONFIDENTIAL**,50,20126,7,FEBRUARY,2015,103,4022016,4,FEBRUARY,2016,YES
0367-001,367,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,7511.4712,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1621-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,53,9,4,20058,1,DECEMBER,2014,**CONFIDENTIAL**,5,20058,1,DECEMBER,2014,**CONFIDENTIAL**,56,20059,2,DECEMBER,2014,103,2022016,2,FEBRUARY,2016,YES
0368-001,368,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,2045.3094,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1621-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,52,3,4,20059,2,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,56,20059,2,DECEMBER,2014,103,2022016,2,FEBRUARY,2016,YES
0369-001,369,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,1879.1849,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1622-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,55,3,40,20058,1,DECEMBER,2014,**CONFIDENTIAL**,5,20058,1,DECEMBER,2014,**CONFIDENTIAL**,56,20058,1,DECEMBER,2014,103,1022016,1,FEBRUARY,2016,YES
0370-001,370,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,1843.7446,1,MTWARA,MTWARA,3,MASASI TC,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1623-001,ORIGINAL HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,51,11,57,20059,2,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,50,20060,3,DECEMBER,2014,103,4022016,4,FEBRUARY,2016,YES
0370-002,370,2,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,3687.4893,1,MTWARA,MTWARA,5,MTWARA MIKINDANI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1623-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,54,4,6,20170,23,MARCH,2015,**CONFIDENTIAL**,5,20170,23,MARCH,2015,**CONFIDENTIAL**,50,20171,24,MARCH,2015,,,,,,YES
0371-001,371,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,5019.7021,1,MTWARA,MTWARA,3,MASASI TC,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1623-002,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,54,4,56,20059,2,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,56,20060,3,DECEMBER,2014,103,3022016,3,FEBRUARY,2016,YES
0372-001,372,1,URBAN,DAR ES SALAAM,PWANI - RURAL,9301016,,,3414.6853,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,122,**CONFIDENTIAL**,0,**CONFIDENTIAL**,90,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1624-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,7,46,20161,14,MARCH,2015,**CONFIDENTIAL**,1,20161,14,MARCH,2015,**CONFIDENTIAL**,10,20162,15,MARCH,2015,,,,,,YES
0372-004,372,4,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,2404.3201,1,MTWARA,MTWARA,7,MASASI MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1624-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,4,YES,**CONFIDENTIAL**,65,5,20,20465,12,JANUARY,2016,,,20465,12,JANUARY,2016,**CONFIDENTIAL**,70,20473,20,JANUARY,2016,,,,,,YES
0373-001,373,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,12652.745,1,MTWARA,MTWARA,3,MASASI TC,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,14,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1625-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,54,3,50,20058,1,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,56,20060,3,DECEMBER,2014,103,3022016,3,FEBRUARY,2016,YES
0374-001,374,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,19271.279,1,MWANZA,MWANZA,6,ILEMELA,101,**CONFIDENTIAL**,0,**CONFIDENTIAL**,12,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1625-004,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,23,6,52,20169,22,MARCH,2015,**CONFIDENTIAL**,2,20170,23,MARCH,2015,**CONFIDENTIAL**,20,20170,23,MARCH,2015,,,,,,YES
0375-001,375,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,2215.7144,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1626-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,55,4,30,20059,2,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,56,20059,2,DECEMBER,2014,103,2022016,2,FEBRUARY,2016,YES
0376-001,376,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,2679.6833,1,MOROGORO,MOROGORO,6,MVOMERO,71,**CONFIDENTIAL**,0,**CONFIDENTIAL**,22,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1627-102,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,73,9,30,20167,20,MARCH,2015,**CONFIDENTIAL**,7,20169,22,MARCH,2015,**CONFIDENTIAL**,70,20170,23,MARCH,2015,,,,,,YES
0377-001,377,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,13314.804,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1628-002,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,53,8,50,20059,2,DECEMBER,2014,**CONFIDENTIAL**,5,20060,3,DECEMBER,2014,**CONFIDENTIAL**,56,20060,3,DECEMBER,2014,103,3022016,3,FEBRUARY,2016,YES
0378-001,378,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,3768.0908,1,MTWARA,MTWARA,3,MASASI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1629-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,52,5,20,20058,1,DECEMBER,2014,**CONFIDENTIAL**,5,20059,2,DECEMBER,2014,**CONFIDENTIAL**,56,20059,2,DECEMBER,2014,103,3022016,3,FEBRUARY,2016,YES
0378-003,378,3,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,2944.5139,1,LINDI,LINDI,3,NACHINGWEA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1629-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,3,YES,**CONFIDENTIAL**,55,5,37,20164,17,MARCH,2015,**CONFIDENTIAL**,5,20164,17,MARCH,2015,**CONFIDENTIAL**,50,20164,17,MARCH,2015,,,,,,YES
0379-001,379,1,URBAN,DAR ES SALAAM,PWANI - RURAL,9301016,,,3720.1741,1,DAR ES SALAAM,DAR ES SALAAM,2,ILALA,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,194,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1630-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,5,8,20164,17,MARCH,2015,**CONFIDENTIAL**,1,20164,17,MARCH,2015,**CONFIDENTIAL**,10,20165,18,MARCH,2015,,,,,,YES
0380-001,380,1,URBAN,DAR ES SALAAM,PWANI - RURAL,9301016,,,3720.1741,1,DAR ES SALAAM,DAR ES SALAAM,2,ILALA,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,194,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1630-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,14,6,28,20164,17,MARCH,2015,**CONFIDENTIAL**,1,20164,17,MARCH,2015,**CONFIDENTIAL**,10,20165,18,MARCH,2015,,,,,,YES
0381-001,381,1,RURAL,MAINLAND RURAL,PWANI - RURAL,9301016,,,2017.4203,1,MTWARA,MTWARA,3,MASASI VIJIJINI,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1630-004,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,5,36,20165,18,MARCH,2015,**CONFIDENTIAL**,5,20166,19,MARCH,2015,**CONFIDENTIAL**,50,20170,23,MARCH,2015,103,4022016,4,FEBRUARY,2016,YES
0381-002,381,2,URBAN,DAR ES SALAAM,PWANI - RURAL,9301016,,,1490.6073,1,DAR ES SALAAM,DAR ES SALAAM,3,TEMEKE,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1630-004,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,12,12,35,20333,2,SEPTEMBER,2015,**CONFIDENTIAL**,5,20333,2,SEPTEMBER,2015,**CONFIDENTIAL**,10,20334,3,SEPTEMBER,2015,,,,,,YES
0382-001,382,1,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,5808.1489,1,MTWARA,MTWARA,3,MASASI TC,1,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1631-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,51,4,38,20058,1,DECEMBER,2014,**CONFIDENTIAL**,5,20058,1,DECEMBER,2014,**CONFIDENTIAL**,56,20058,1,DECEMBER,2014,103,1022016,1,FEBRUARY,2016,YES
0382-003,382,3,URBAN,MAINLAND OTHER URBAN,PWANI - RURAL,9301016,,,6055.4082,1,MTWARA,MTWARA,7,MASASI MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1631-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,3,YES,**CONFIDENTIAL**,11,7,7,20465,12,JANUARY,2016,,,20465,12,JANUARY,2016,**CONFIDENTIAL**,70,20465,12,JANUARY,2016,,,,,,YES
0383-002,383,2,URBAN,MAINLAND OTHER URBAN,PWANI - URBAN,9327004,,,1605.7948,1,MTWARA,MTWARA,7,MASASI MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1673-002,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,11,10,59,20466,13,JANUARY,2016,,,20466,13,JANUARY,2016,**CONFIDENTIAL**,70,20467,14,JANUARY,2016,,,,,,YES
0384-001,384,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9327004,,,5349.3145,1,MTWARA,MTWARA,3,MASASI VIJIJINI,27,**CONFIDENTIAL**,0,**CONFIDENTIAL**,4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1673-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,52,4,29,20272,3,JULY,2015,**CONFIDENTIAL**,5,20272,3,JULY,2015,**CONFIDENTIAL**,50,20273,4,JULY,2015,101,9012016,9,JANUARY,2016,YES
0385-001,385,1,URBAN,MAINLAND OTHER URBAN,PWANI - URBAN,9327004,,,21775.688,1,DODOMA,DODOMA,5,DODOMA MJINI,42,**CONFIDENTIAL**,0,**CONFIDENTIAL**,16,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1674-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,21,11,45,20057,30,NOVEMBER,2014,**CONFIDENTIAL**,2,20058,1,DECEMBER,2014,**CONFIDENTIAL**,20,20122,3,FEBRUARY,2015,,,,,,YES
0386-001,386,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9327004,,,10598.594,1,MTWARA,MTWARA,3,MASASI VIJIJINI,27,**CONFIDENTIAL**,0,**CONFIDENTIAL**,4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1674-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,4,13,20272,3,JULY,2015,**CONFIDENTIAL**,5,20272,3,JULY,2015,**CONFIDENTIAL**,50,20273,4,JULY,2015,101,8012016,8,JANUARY,2016,YES
0387-001,387,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9327004,,,11667.885,1,MTWARA,MTWARA,3,MASASI VIJIJINI,27,**CONFIDENTIAL**,0,**CONFIDENTIAL**,4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1675-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,52,6,54,20270,1,JULY,2015,**CONFIDENTIAL**,5,20270,1,JULY,2015,**CONFIDENTIAL**,50,20271,2,JULY,2015,101,7012015,7,JANUARY,2015,YES
0388-001,388,1,URBAN,MAINLAND OTHER URBAN,PWANI - URBAN,9327004,,,4482.2778,1,MTWARA,MTWARA,7,MASASI MJINI,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,116,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1676-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,3,21,20274,5,JULY,2015,**CONFIDENTIAL**,5,20274,5,JULY,2015,**CONFIDENTIAL**,50,20274,5,JULY,2015,101,11012016,11,JANUARY,2016,YES
0388-005,388,5,URBAN,MAINLAND OTHER URBAN,PWANI - URBAN,9327004,,,2440.7686,1,MTWARA,MTWARA,7,MASASI MJINI,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,116,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1676-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,5,YES,**CONFIDENTIAL**,54,4,21,20273,4,JULY,2015,**CONFIDENTIAL**,5,20274,5,JULY,2015,**CONFIDENTIAL**,50,20275,6,JULY,2015,101,11012016,11,JANUARY,2016,YES
0389-001,389,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9327004,,,6054.6563,1,MTWARA,MTWARA,3,MASASI VIJIJINI,27,**CONFIDENTIAL**,0,**CONFIDENTIAL**,4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1677-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,55,5,48,20270,1,JULY,2015,**CONFIDENTIAL**,5,20270,1,JULY,2015,**CONFIDENTIAL**,50,20271,2,JULY,2015,101,7012016,7,JANUARY,2016,YES
0390-001,390,1,RURAL,MAINLAND RURAL,PWANI - URBAN,9327004,,,12058.531,1,MTWARA,MTWARA,3,MASASI VIJIJINI,27,**CONFIDENTIAL**,0,**CONFIDENTIAL**,4,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,1679-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,51,5,50,20270,1,JULY,2015,**CONFIDENTIAL**,5,20270,1,JULY,2015,**CONFIDENTIAL**,50,20271,2,JULY,2015,101,8012016,8,JANUARY,2016,YES
