"occ","y4_hhid","hh_a06","hh_a13","y4_rural","domain","strataid","clusterid","wardtype","clustertype","y4_weights","hh_a01_1","hh_a01_2","hh_a02_1","hh_a02_2","hh_a03_1","hh_a03_2","hh_a03_3a","hh_a03_3b","hh_a04_1","hh_a04_2","hh_a05","hh_a07_1","hh_a07_2","hh_a08","hh_a09","hh_a10","hh_a11","hh_a12_2","hh_a12_1","hh_a14","hh_a15","hh_a16","hh_a17_1","hh_a17_2","hh_a18","hh_a18_1","hh_a18_2","hh_a18_3","hh_a19","hh_a20","hh_a21","hh_a21_1","hh_a21_2","hh_a21_3","hh_a22","hh_a23","hh_a24","hh_a24_1","hh_a24_2","hh_a24_3","hh_a25","hh_a26","hh_a26_1","hh_a26_2","hh_a26_3","hh_a27"
1,"1079-001",1079,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,4,39,20045,18,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20046,19,11,2014,102,2042014,2,4,2014,1
1,"1080-001",1080,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,4,52,20045,18,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20046,19,11,2014,102,1042014,1,4,2014,1
1,"1081-001",1081,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,7,20046,19,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20047,20,11,2014,102,4042015,4,4,2015,1
1,"1082-001",1082,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,3,22,20046,19,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20047,20,11,2014,102,4042014,4,4,2014,1
1,"1083-001",1083,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,3,41,20046,19,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20047,20,11,2014,102,4042015,4,4,2015,1
1,"1095-001",1095,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,3,50,20143,24,2,2015,"**CONFIDENTIAL**",1,20143,24,2,2015,"**CONFIDENTIAL**",10,20144,25,2,2015,,,,,,1
1,"1096-001",1096,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,3,30,20145,26,2,2015,"**CONFIDENTIAL**",1,20145,26,2,2015,"**CONFIDENTIAL**",10,20146,27,2,2015,,,,,,1
1,"1097-001",1097,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",13,4,58,20143,24,2,2015,"**CONFIDENTIAL**",1,20145,26,2,2015,"**CONFIDENTIAL**",10,20146,27,2,2015,,,,,,1
1,"1098-001",1098,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,6,13,20143,24,2,2015,"**CONFIDENTIAL**",1,20143,24,2,2015,"**CONFIDENTIAL**",10,20144,25,2,2015,,,,,,1
1,"1099-001",1099,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,58,20143,24,2,2015,"**CONFIDENTIAL**",1,20143,24,2,2015,"**CONFIDENTIAL**",10,20144,25,2,2015,,,,,,1
1,"1100-001",1100,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,4,8,20145,26,2,2015,"**CONFIDENTIAL**",1,20145,26,2,2015,"**CONFIDENTIAL**",10,20145,26,2,2015,,,,,,1
1,"1101-001",1101,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,36,20145,26,2,2015,"**CONFIDENTIAL**",1,20145,26,2,2015,"**CONFIDENTIAL**",10,20145,26,2,2015,,,,,,1
1,"1102-001",1102,1,,3,4,20702102003,1,1,2090.60498046875,2,"ARUSHA",7,"LONGIDO",21,"**CONFIDENTIAL**",2,"ENGIKARET",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,5,6,20145,26,2,2015,"**CONFIDENTIAL**",1,20145,26,2,2015,"**CONFIDENTIAL**",10,20146,27,2,2015,,,,,,1
1,"1114-001",1114,1,,1,13,70102201005,2,2,2369.42651367188,7,"DAR ES SALAAM",1,"KINONDONI",22,"**CONFIDENTIAL**",1,"SISI KWA SISI",5,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",61,4,31,20003,7,10,2014,"**CONFIDENTIAL**",6,20013,17,10,2014,"**CONFIDENTIAL**",60,20013,17,10,2014,105,14042015,14,4,2015,1
