"vague","grappe","menage","s09bq01","s09bq02","s09bq03"
2,132,1,207,1,25
2,132,1,215,1,3000
2,132,1,206,1,50
2,405,1,217,1,300
2,405,1,212,1,1200
2,405,1,204,1,1400
2,405,1,203,1,700
2,405,1,207,1,50
2,490,1,204,1,6000
2,490,1,207,1,50
2,490,1,208,1,20000
2,490,1,217,1,250
1,112,3,206,1,200
1,112,3,201,1,700
1,112,3,203,1,1400
1,112,3,211,1,400
2,298,1,208,1,60000
2,105,2,207,1,50
2,105,2,210,1,8000
2,105,2,211,1,2000
2,105,2,205,1,1500
2,102,1,207,1,100
2,111,1,206,1,100
2,111,1,210,1,700
2,111,1,207,1,50
2,111,1,203,1,600
1,321,7,205,1,3500
1,321,7,207,1,50
1,321,7,210,1,1500
2,304,1,207,1,50
2,304,1,210,1,4750
2,304,1,203,1,2100
1,413,5,205,1,6000
1,413,5,207,1,50
1,335,4,207,1,25
1,335,4,211,1,20000
2,314,1,205,1,5000
2,314,1,207,1,50
1,239,2,209,1,4000
1,239,2,207,1,175
1,508,6,207,1,100
1,508,6,203,1,1400
1,508,6,204,1,2800
1,508,6,212,1,2000
1,275,5,217,1,1000
1,275,5,207,1,200
1,275,5,215,1,400
1,275,5,205,1,2500
2,542,1,210,1,500
2,542,1,217,1,500
2,542,1,207,1,50
2,542,1,205,1,500
2,192,1,205,1,700
2,192,1,207,1,50
1,398,2,203,1,6000
1,398,2,207,1,50
1,398,2,217,1,400
1,61,11,210,1,1000
1,61,11,207,1,100
1,479,4,207,1,100
1,479,4,204,1,5000
1,479,4,211,1,10000
1,574,2,207,1,100
1,574,2,203,1,2000
1,574,2,208,1,4900
1,574,2,205,1,2500
1,574,2,214,1,700
2,42,1,207,1,50
2,42,1,203,1,700
2,42,1,211,1,600
1,366,2,204,1,2100
1,366,2,207,1,25
1,366,2,214,1,200
1,366,2,201,1,700
1,281,1,215,1,2100
1,281,1,207,1,25
1,281,1,204,1,600
1,281,1,205,1,500
2,10,1,210,1,9000
2,10,1,211,1,5000
2,10,1,209,1,2000
2,10,1,207,1,300
2,236,1,212,1,1500
2,236,1,205,1,1000
2,236,1,207,1,50
2,282,1,207,1,50
1,137,3,217,1,50
1,137,3,207,1,25
1,137,3,205,1,1400
1,127,12,204,1,1400
1,127,12,212,1,5000
1,127,12,215,1,500
1,366,9,211,1,800
1,366,9,204,1,1400
1,366,9,207,1,50
1,505,7,207,1,75
2,142,2,217,1,75
2,142,2,204,1,1400
2,142,2,215,1,700
2,196,1,205,1,2500
2,196,1,217,1,100
2,196,1,207,1,50
1,177,7,203,1,1400
1,177,7,215,1,1400
1,177,7,207,1,25
2,482,1,203,1,500
2,482,1,207,1,50
1,477,7,207,1,100
1,477,7,204,1,250
1,477,7,217,1,1750
1,477,7,205,1,5000
1,477,7,203,1,3000
1,341,8,203,1,1000
1,341,8,206,1,700
1,341,8,207,1,50
1,271,6,204,1,1700
1,271,6,207,1,50
1,127,6,211,1,3000
1,127,6,215,1,700
1,127,6,204,1,14000
1,127,6,212,1,2800
1,127,6,207,1,25
1,127,6,206,1,500
2,433,1,205,1,3000
2,433,1,201,1,250
2,433,1,207,1,100
1,273,9,207,1,25
2,399,1,205,1,3000
2,399,1,217,1,4000
2,399,1,207,1,50
2,399,1,209,1,2000
1,434,9,205,1,2500
1,434,9,212,1,2000
1,434,9,201,1,500
2,292,3,207,1,75
2,292,3,203,1,3500
1,423,1,203,1,1500
1,423,1,207,1,100
1,199,10,203,1,1400
1,199,10,205,1,1400
1,199,10,207,1,50
1,463,2,207,1,50
1,249,11,205,1,700
2,123,1,207,1,50
2,123,1,211,1,600
1,157,6,203,1,2100
1,157,6,215,1,3600
1,157,6,207,1,75
1,85,12,211,1,3625
2,272,1,203,1,3500
2,272,1,211,1,1000
2,272,1,212,1,1400
2,272,1,207,1,50
1,400,4,201,1,150
1,400,4,205,1,1250
1,400,4,207,1,175
1,400,4,217,1,800
2,308,1,205,1,2000
2,308,1,207,1,75
2,308,1,215,1,3000
2,496,1,207,1,100
2,496,1,212,1,1200
2,496,1,204,1,1400
2,496,1,217,1,150
1,557,11,205,1,2500
1,557,11,207,1,50
1,557,11,209,1,4000
2,435,1,207,1,100
2,435,1,205,1,2500
2,435,1,212,1,7000
2,351,1,205,1,3500
2,351,1,207,1,75
1,161,4,215,1,800
1,161,4,203,1,1400
1,161,4,207,1,100
1,161,4,217,1,400
1,161,4,211,1,750
2,46,1,203,1,1400
2,46,1,207,1,175
1,576,3,205,1,1500
1,576,3,207,1,50
1,576,3,201,1,700
2,111,2,203,1,1500
2,111,2,206,1,200
2,111,2,207,1,50
2,190,1,205,1,2000
2,117,1,203,1,1400
2,117,1,211,1,700
2,117,1,207,1,100
2,26,1,210,1,8000
2,26,1,203,1,1300
2,26,1,211,1,2400
1,415,1,207,1,25
1,415,1,205,1,1000
1,415,1,201,1,700
1,237,12,204,1,1000
1,237,12,207,1,50
2,534,1,203,1,200
1,459,4,207,1,25
1,459,4,206,1,200
1,459,4,215,1,800
2,250,1,205,1,3000
2,250,1,207,1,25
2,250,1,201,1,2000
1,597,12,207,1,25
1,597,12,205,1,500
2,168,1,215,1,200
2,168,1,206,1,700
2,168,1,207,1,50
2,168,1,204,1,1200
2,146,1,205,1,2500
2,146,1,207,1,25
2,146,1,215,1,2000
2,146,1,217,1,175
1,429,6,206,1,350
1,429,6,217,1,250
1,429,6,205,1,1250
1,429,6,207,1,200
1,200,3,203,1,1750
1,200,3,211,1,1000
1,200,3,207,1,75
2,304,2,207,1,25
2,304,2,210,1,2500
2,88,1,212,1,1000
2,88,1,207,1,50
2,88,1,205,1,1000
2,88,1,201,1,700
2,407,1,207,1,50
2,407,1,203,1,6000
2,276,2,207,1,100
2,276,2,217,1,800
2,276,2,212,1,1500
2,452,1,207,1,100
2,452,1,205,1,3500
2,452,1,201,1,700
2,28,1,201,1,5600
2,28,1,208,1,15000
2,28,1,211,1,800
2,4,1,206,1,350
2,342,1,207,1,100
2,342,1,205,1,3000
1,339,9,207,1,150
1,339,9,205,1,3500
1,339,9,217,1,250
1,154,7,207,1,100
1,154,7,204,1,700
1,154,7,203,1,350
2,181,1,207,1,50
2,181,1,205,1,1000
2,111,3,211,1,2800
2,111,3,203,1,1000
2,111,3,207,1,50
1,578,6,208,1,21000
1,578,6,203,1,1050
1,578,6,207,1,25
1,578,6,209,1,5000
1,489,2,217,1,150
1,489,2,205,1,2100
1,489,2,212,1,2000
1,489,2,207,1,50
2,296,1,212,1,1500
2,296,1,203,1,1400
2,296,1,210,1,2500
2,588,1,205,1,1400
2,588,1,207,1,100
2,94,1,205,1,1000
2,365,1,207,1,100
2,365,1,217,1,100
2,365,1,215,1,2000
2,365,1,212,1,900
1,411,6,203,1,1000
1,411,6,207,1,25
1,411,6,204,1,7500
2,201,1,207,1,50
2,201,1,203,1,1400
2,201,1,211,1,7500
2,109,1,211,1,1000
2,109,1,203,1,2500
2,109,1,207,1,100
2,109,1,210,1,2000
2,109,1,212,1,1500
1,206,9,203,1,1500
1,206,9,211,1,800
1,206,9,207,1,75
1,179,2,204,1,1400
1,179,2,203,1,1500
1,179,2,215,1,3500
1,103,10,207,1,25
1,133,4,203,1,600
1,133,4,215,1,300
1,133,4,207,1,50
2,88,2,207,1,50
2,88,2,212,1,2500
2,88,2,205,1,5000
1,173,10,203,1,200
1,173,10,207,1,50
1,199,5,211,1,1800
2,170,1,215,1,700
2,170,1,207,1,25
2,170,1,203,1,2100
2,170,1,204,1,500
2,170,1,211,1,1400
2,170,1,217,1,75
2,170,1,210,1,4200
1,567,3,207,1,100
1,567,3,201,1,1225
1,567,3,204,1,1400
1,567,3,212,1,1400
2,388,1,217,1,1500
2,388,1,210,1,700
2,388,1,205,1,2000
2,388,1,207,1,50
1,118,7,210,1,7000
1,17,9,203,1,700
1,17,9,207,1,25
1,17,9,216,1,2800
1,17,9,208,1,35000
1,17,9,210,1,3500
1,17,9,211,1,200
1,175,1,207,1,50
1,175,1,203,1,600
1,33,3,216,1,600
1,33,3,211,1,5000
1,33,3,203,1,1400
1,33,3,212,1,7000
1,33,3,201,1,1400
1,33,3,210,1,10000
2,437,1,207,1,25
1,129,11,205,1,1400
1,129,11,207,1,100
2,393,1,209,1,3000
1,116,12,206,1,1500
1,116,12,207,1,50
1,116,12,211,1,800
1,400,8,205,1,750
1,400,8,217,1,400
1,400,8,207,1,50
2,553,2,205,1,1000
2,553,2,207,1,25
2,258,1,210,1,2500
2,258,1,203,1,3500
2,258,1,217,1,500
2,258,1,212,1,1000
2,258,1,207,1,75
2,258,1,216,1,600
2,258,1,211,1,1500
2,258,1,209,1,5000
2,140,2,203,1,4200
2,140,2,212,1,300
2,140,2,211,1,2000
2,140,2,217,1,250
1,389,11,207,1,175
1,389,11,208,1,5000
1,389,11,206,1,100
1,389,11,203,1,450
1,389,11,205,1,200
2,547,2,207,1,50
2,547,2,209,1,2000
2,547,2,217,1,500
2,547,2,205,1,1000
2,347,1,207,1,50
2,187,2,201,1,2500
2,187,2,204,1,700
2,187,2,207,1,200
2,30,1,203,1,3500
2,30,1,207,1,100
2,30,1,211,1,3500
2,30,1,208,1,9000
2,30,1,216,1,1500
2,30,1,210,1,6000
2,205,1,207,1,25
2,205,1,211,1,200
2,205,1,203,1,500
2,556,2,205,1,7000
1,360,12,205,1,1500
1,360,12,207,1,100
1,377,5,205,1,2100
1,377,5,207,1,25
1,550,10,203,1,400
1,550,10,205,1,1000
1,550,10,207,1,100
2,577,2,205,1,3000
2,577,2,207,1,50
2,577,2,209,1,10000
1,63,12,203,1,300
1,63,12,201,1,2100
1,63,12,211,1,1000
1,13,6,207,1,25
1,13,6,211,1,1250
1,241,2,207,1,25
1,191,10,207,1,50
1,191,10,204,1,2100
1,104,10,203,1,1400
1,104,10,209,1,500
1,104,10,207,1,75
1,104,10,212,1,3400
2,435,2,207,1,100
2,435,2,206,1,200
2,376,1,207,1,25
2,376,1,205,1,2100
2,441,2,204,1,2000
2,441,2,205,1,2500
2,441,2,212,1,1000
2,441,2,207,1,25
1,70,6,203,1,2100
1,70,6,207,1,100
1,70,6,211,1,1000
2,292,4,203,1,3500
2,292,4,207,1,100
2,292,4,212,1,2000
1,438,3,204,1,3000
1,438,3,217,1,270
1,438,3,207,1,150
1,438,3,203,1,3000
1,438,3,209,1,7000
2,56,1,211,1,7850
2,20,2,211,1,1500
2,20,2,203,1,1400
1,546,11,207,1,50
1,546,11,205,1,2000
2,420,1,207,1,50
2,109,2,207,1,50
2,109,2,205,1,1400
2,109,2,201,1,700
1,463,12,203,1,1400
1,463,12,217,1,100
1,463,12,207,1,25
1,463,12,204,1,1400
2,594,1,205,1,2000
2,594,1,207,1,100
2,504,2,207,1,25
2,504,2,205,1,5000
2,504,2,217,1,980
2,234,1,206,1,750
2,234,1,207,1,50
2,234,1,205,1,3500
1,398,10,207,1,175
1,398,10,205,1,1750
1,398,10,217,1,1500
1,49,2,203,1,875
1,49,2,211,1,400
1,49,2,207,1,25
1,104,5,203,1,600
1,104,5,216,1,400
1,104,5,212,1,3000
2,192,2,217,1,700
2,192,2,207,1,25
2,523,1,206,1,150
2,523,1,207,1,75
2,523,1,211,1,3500
2,523,1,212,1,2000
1,489,12,205,1,2500
1,489,12,207,1,50
2,373,1,207,1,25
2,373,1,215,1,1400
2,373,1,204,1,2100
1,278,8,207,1,25
1,278,8,212,1,400
1,278,8,204,1,700
2,498,1,207,1,25
2,498,1,204,1,500
2,119,1,206,1,300
2,119,1,211,1,600
2,528,2,209,1,7000
2,528,2,203,1,15000
2,475,1,207,1,50
1,525,1,207,1,50
1,525,1,205,1,700
2,397,1,201,1,200
2,397,1,217,1,900
2,397,1,207,1,50
2,397,1,205,1,2000
2,84,1,211,1,3500
2,84,1,210,1,4000
2,84,1,208,1,7000
1,377,2,205,1,2500
1,377,2,207,1,50
2,151,1,212,1,500
2,151,1,207,1,50
2,151,1,211,1,400
2,149,1,207,1,75
2,149,1,203,1,1750
1,139,7,212,1,600
1,139,7,207,1,25
1,139,7,204,1,2100
1,139,7,215,1,300
1,139,7,201,1,2800
1,139,7,210,1,1400
1,263,11,201,1,600
1,263,11,207,1,50
1,263,11,203,1,2100
1,263,11,211,1,300
2,196,2,207,1,50
2,196,2,215,1,250
2,196,2,205,1,1200
2,496,2,203,1,300
2,496,2,204,1,300
2,496,2,207,1,25
1,77,4,210,1,7500
1,77,4,211,1,1500
1,77,4,203,1,300
1,527,12,203,1,2000
2,386,1,212,1,1600
1,233,3,201,1,3500
1,233,3,205,1,3500
2,138,1,204,1,2100
2,138,1,207,1,100
1,383,9,212,1,400
2,194,1,205,1,1500
2,194,1,207,1,75
1,438,1,203,1,600
1,438,1,207,1,25
1,438,1,212,1,1200
1,154,11,203,1,2800
1,154,11,207,1,75
1,154,11,201,1,300
2,588,2,207,1,100
2,588,2,217,1,200
2,588,2,204,1,2100
2,588,2,209,1,3000
2,40,1,211,1,6500
2,40,1,203,1,1800
1,350,11,207,1,25
1,436,9,207,1,25
1,436,9,205,1,2500
1,436,9,209,1,1500
1,569,4,217,1,150
1,569,4,203,1,1500
1,569,4,209,1,4500
1,377,3,217,1,200
1,377,3,205,1,10000
