"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
792,2,9.9784358,-7.5698113,34,378,"2019-04-09T08:58:01"
406,2,9.44383171387017,-7.11678857915103,4,509,"2019-05-16T21:03:15"
562,2,5.92609527055174,-4.20838016085327,8,90,"2019-04-10T09:11:59"
838,2,5.3182655,-4.3812232,22,41,"2019-04-09T17:15:09"
474,2,5.40954879485071,-3.38085263036191,12,97,"2019-04-15T11:27:38"
968,2,6.43560823984444,-3.86987423524261,6,179,"2019-04-11T07:42:25"
280,2,7.7482952,-7.8919544,46,551,"2019-04-11T13:55:09"
12,2,5.3108449280262,-4.07724411226809,31,53,"2019-04-17T13:05:26"
400,2,9.42096416372806,-7.58418437093496,9,467,"2019-04-14T08:51:22"
386,2,5.51875250414014,-7.32897645793855,8,170,"2019-04-06T17:08:40"
590,2,5.8376085665077,-4.73132215440273,6,90,"2019-04-11T15:05:24"
472,2,5.60844955500215,-3.33602394908667,8,132,"2019-04-09T18:15:22"
928,2,8.76689634751529,-5.6864245980978,5,353,"2019-04-14T16:58:30"
252,2,7.66226070933044,-7.85167546011508,44,564,"2019-04-13T14:01:00"
914,2,8.13553120940924,-5.26135867461562,4,291,"2019-04-04T20:11:35"
544,2,5.5802021,-5.3642042,25,74,"2019-04-11T17:32:56"
812,2,5.46469953842461,-5.58750280179083,8,173,"2019-04-10T09:08:29"
506,2,8.45675863791257,-6.65107721462846,4,411,"2019-04-15T15:19:37"
1038,2,8.8791286,-4.1356886,23,298,"2019-04-06T07:48:01"
542,2,6.0753214,-5.1829704,26,193,"2019-04-04T17:05:33"
986,2,6.30933868233114,-6.96011731401086,18,259,"2019-04-12T09:12:47"
414,2,7.14041946921498,-4.50319038704038,6,134,"2019-04-17T08:06:28"
592,2,5.89344172272831,-4.82910417951643,6,47,"2019-04-16T15:06:09"
546,2,5.52633431274444,-5.30529929324985,8,46,"2019-04-16T08:20:58"
740,2,9.12185121327639,-6.36274460703135,9,401,"2019-04-08T07:32:12"
1024,2,5.7958401,-6.5920213,36,181,"2019-04-17T06:06:51"
428,2,7.36003321129829,-4.58654120564461,12,197,"2019-04-04T07:48:50"
970,2,6.34411959908903,-3.85893953964114,4,157,"2019-04-17T15:30:00"
872,2,7.04558908939362,-7.88605718873441,20,344,"2019-04-04T07:41:22"
1022,2,5.7802319,-6.5958355,25,172,"2019-04-16T17:29:14"
