"HHID","region","urban","regurb","stratum","comm","h1aq1","h1aq2b","h1aq3b","h1aq4b","day","month","year","interview_result","reason","hh_status","spitoff09_10","spitoff10_11","wgt10"
"1021002405",0,1,11,1,"1020024","KAMPALA","KCCA","NAKAWA","MUTUNGO",7,4,2011,1,,1,0,0,1209.69812011719
"1021002407",0,1,11,1,"1020024","KAMPALA","KCCA","NAKAWA","MUTUNGO",7,4,2011,1,,1,0,0,1417.958984375
"1021002501",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",30,10,2010,1,,1,0,0,516.250305175781
"1021002502",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",15,10,2010,1,,1,0,0,569.894287109375
"1021002505",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",16,5,2011,1,,1,0,0,1074.15356445313
"1021002508",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",15,10,2010,1,,1,0,0,603.928955078125
"1021002509",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",14,10,2010,1,,1,0,0,450.540863037109
"1021002510",0,1,11,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",14,10,2010,1,,1,0,0,1939.28576660156
"102100251007",0,1,,1,"1020025","KAMPALA","KCCA","NAKAWA","NAGURU II",,,,2,5,1,1,0,3706.77465820313
"1021002603",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,5,2011,1,,1,0,0,2296.20849609375
"1021002604",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,12,2010,1,,1,0,0,768.001342773438
"1021002605",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,12,2010,1,,1,0,0,514.597412109375
"1021002606",0,1,,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",,,,2,1,1,0,0,2296.20849609375
"102100260606",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,5,2011,1,,1,1,0,3188.22314453125
"1021002610",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,12,2010,1,,1,0,0,1536.00268554688
"1021002611",0,1,11,1,"1020026","KAMPALA","KCCA","RUBAGA DIVISION","BUSEGA",1,12,2010,1,,1,0,0,1569.26123046875
"1021002702",0,1,11,1,"1020027","KAMPALA","KCCA","RUBAGA DIVISION","KABOWA",7,10,2010,1,,1,0,0,618.804260253906
"1021002703",0,1,11,1,"1020027","KAMPALA","KCCA","RUBAGA DIVISION","KABOWA",7,12,2010,1,,1,0,0,574.642578125
"1021002711",0,1,11,1,"1020027","KAMPALA","KCCA","RUBAGA DIVISION","KABOWA",7,12,2010,1,,1,0,0,827.715759277344
"1021002801",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",19,1,2011,1,,1,0,0,1993.861328125
"1021002802",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",20,1,2011,1,,1,0,0,1756.9287109375
"1021002803",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",20,1,2011,1,,1,0,0,6022.107421875
"1021002804",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",2,2,2011,1,,1,0,0,3722.25341796875
"1021002805",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",20,8,2011,1,,1,0,0,2167.75952148438
"1021002807",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",20,1,2011,1,,1,0,0,2198.39501953125
