"sample_id","dry_matter_g_100g","date","location","type","total_length_mm","mass_g","local_name","latin_name","nutrient","value","unit"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","mercury",6e-04,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","calcium",10,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","sodium",44,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","potassium",390,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","magnesium",30,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","phosphorus",190,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","vitamin_d3",19,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","vitamin_a1",1,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","vitamin_a2", ,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","protein",19,"g_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","iodine",91,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","folate",6.8,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","vitamin_b12",0.3,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","vanadium",5e-04,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","chromium",0.0011,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","manganese",0.014,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","iron",0.23,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","copper",0.0096,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","zinc",0.29,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","arsenic",4e-04,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","selenium",11,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","mercury",9e-04,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","calcium",10,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","sodium",36,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","potassium",380,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","magnesium",28,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","phosphorus",180,"mg_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","vitamin_d3",30,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","vitamin_a1",0.8,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","vitamin_a2", ,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","protein",20,"g_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","iodine",98,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","folate",6.2,"mug_100g"
"T_005_W","21.3","20-01-2022","Kisumu","Wild","321","701","tilapia","Oreochromis niloticus","vitamin_b12",0.17,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","vanadium", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","chromium", ,"mg_100g"
