"sample_id","dry_matter_g_100g","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","selenium",60,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","molybdenum", ,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","silver", ,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","cadmium",0.0024,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","mercury",7e-04,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","lead", ,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","iodine",140,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","calcium",870,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","sodium",150,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","potassium",370,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","magnesium",56,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","phosphorus",650,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","folate",32,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","vitamin_b12",7.4,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","vitamin_d3",10,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","vitamin_a1",18,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","vitamin_a2",18,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","protein",22,"g_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","vanadium",0.029,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","chromium",0.0021,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","manganese",0.34,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","iron",2.7,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","cobalt",0.0011,"mg_100g"
