"sample_id","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","cadmium",0.005,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","mercury",0.008,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","lead",0.005,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iodine",140,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","calcium",8300,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","sodium",410,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","potassium",1700,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","magnesium",340,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","phosphorus",5300,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_d3",10,"mg_kg"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","folate",190,"mg_100g"
"K_002_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_b12",120,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_a1",1700,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_a2",360,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","protein",16.4,"g_100g"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vanadium",0.053,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","chromium",0.031,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","manganese",3.3,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","iron",25,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","cobalt",0.016,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","nickel", ,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","copper",0.56,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","zinc",35,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","arsenic",0.046,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","selenium",210,"mg_kg"
