sample_unit,sample_id,interview_sheet,date,location,market,stall,type,days_processed,catch_source,local_name,latin_name,mean_total_length_mm,mass_g,sample_mass_inbag_g,bag_mass_g,sample_mass_g,number_fish
A_016,A_016_A,dried_011,02/02/2022,Accra,Makola,2,Sun-dried,3,Accra,Anchovy,Engraulis encrasicolus,57,,109,5,104,
A_016,A_016_B,dried_011,02/02/2022,Accra,Makola,2,Sun-dried,3,Accra,Anchovy,Engraulis encrasicolus,57,,107,5,102,
A_016,A_016_C,dried_011,02/02/2022,Accra,Makola,2,Sun-dried,3,Accra,Anchovy,Engraulis encrasicolus,57,,105,5,100,
A_016,A_016_D,dried_011,02/02/2022,Accra,Makola,2,Sun-dried,3,Accra,Anchovy,Engraulis encrasicolus,57,,105,5,100,
A_016,A_016_E,dried_011,02/02/2022,Accra,Makola,2,Sun-dried,3,Accra,Anchovy,Engraulis encrasicolus,57,,76,5,71,
A_017,A_017_A,dried_010,02/02/2022,Accra,Makola,1,Smoked,2,"Cape Coast, Accra",Herring,Sardinella sp,90.8,,114,5,109,
A_017,A_017_B,dried_010,02/02/2022,Accra,Makola,1,Smoked,2,"Cape Coast, Accra",Herring,Sardinella sp,90.8,,111,5,106,
A_017,A_017_C,dried_010,02/02/2022,Accra,Makola,1,Smoked,2,"Cape Coast, Accra",Herring,Sardinella sp,90.8,,111,5,106,
A_017,A_017_D,dried_010,02/02/2022,Accra,Makola,1,Smoked,2,"Cape Coast, Accra",Herring,Sardinella sp,90.8,,110,5,105,
A_017,A_017_E,dried_010,02/02/2022,Accra,Makola,1,Smoked,2,"Cape Coast, Accra",Herring,Sardinella sp,90.8,,114,5,109,
A_018,A_018_A,dried_010,02/02/2022,Accra,Makola,1,Powder,2,"Cape Coast, Accra",Herring,Sardinella sp,NA,,107,5,102,
A_018,A_018_B,dried_010,02/02/2022,Accra,Makola,1,Powder,2,"Cape Coast, Accra",Herring,Sardinella sp,NA,,108,5,103,
A_018,A_018_C,dried_010,02/02/2022,Accra,Makola,1,Powder,2,"Cape Coast, Accra",Herring,Sardinella sp,NA,,108,5,103,
A_018,A_018_D,dried_010,02/02/2022,Accra,Makola,1,Powder,2,"Cape Coast, Accra",Herring,Sardinella sp,NA,,107,5,102,
A_018,A_018_E,dried_010,02/02/2022,Accra,Makola,1,Powder,2,"Cape Coast, Accra",Herring,Sardinella sp,NA,,111,5,106,
V_001_W,V_001_W,dried_011,03/02/2022,Lake Volta,Lakeside,1,Wet,0,Lake Volta,One man thousand,Sierrathrissa leonensis,20.8,,557,5,552,
V_002_W,V_002_W,dried_011,03/02/2022,Lake Volta,Lakeside,1,Wet,0,Lake Volta,One man thousand,Sierrathrissa leonensis,20.8,,514,5,509,
V_001,V_001_A,dried_011,03/02/2022,Lake Volta,Lakeside,1,Fried,0,Lake Volta,One man thousand,Sierrathrissa leonensis,14.1,,118,5,113,
V_001,V_001_B,dried_011,03/02/2022,Lake Volta,Lakeside,1,Fried,0,Lake Volta,One man thousand,Sierrathrissa leonensis,14.1,,122,5,117,
V_001,V_001_C,dried_011,03/02/2022,Lake Volta,Lakeside,1,Fried,0,Lake Volta,One man thousand,Sierrathrissa leonensis,14.1,,103,5,98,
V_001,V_001_D,dried_011,03/02/2022,Lake Volta,Lakeside,1,Fried,0,Lake Volta,One man thousand,Sierrathrissa leonensis,14.1,,111,5,106,
V_001,V_001_E,dried_011,03/02/2022,Lake Volta,Lakeside,1,Fried,0,Lake Volta,One man thousand,Sierrathrissa leonensis,14.1,,104,5,99,
