sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
caesio lunaris,lunar fusilier,caesio,caesioninae,caesionidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
caesio teres,yellow and blueback fusilier,caesio,caesioninae,caesionidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
caesionidae,fusiliers nei,NA,NA,caesionidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
caesioperca lepidoptera,butterfly perch,caesioperca,anthiadinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus,porgies,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus arctifrons,grass porgy,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus bajonado,jolthead porgy,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus brachysomus,pacific porgy,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus calamus,saucereye porgy,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calamus penna,sheepshead porgy,calamus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
calanus finmarchicus,,calanus,NA,calanidae,calanoida,maxillopoda,NA,arthropoda,animalia,Miscellaneous marine crustaceans
calappa granulata,shamefaced crab,calappa,NA,calappidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
calappa hepatica,box crab,calappa,NA,calappidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
callinectes,callinectes swimcrabs nei,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
callinectes arcuatus,arched swimming crab,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
callinectes danae,dana swimcrab,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
callinectes marginatus,marbled swimcrab,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
callinectes sapidus,blue crab,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
callinectes toxotes,giant swimcrab,callinectes,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
callionymus lyra,dragonet,callionymus,NA,callionymidae,callionymiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
callionymus maculatus,spotted dragonet,callionymus,NA,callionymidae,callionymiformes,teleostei,osteichthyes,chordata,animalia,NA
calliostoma granulatum,granular top-shell,calliostoma,calliostomatinae,calliostomatidae,trochida,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
callista chione,smooth callista,callista,pitarinae,veneridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
callistoctopus macropus,white-spotted octopus,callistoctopus,NA,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
callorhinchidae,"elephantfishes, etc. nei",NA,NA,callorhinchidae,chimaeriformes,holocephali,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
callorhinchus callorynchus,plownose chimaera,callorhinchus,NA,callorhinchidae,chimaeriformes,holocephali,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
callorhinchus capensis,cape elephantfish,callorhinchus,NA,callorhinchidae,chimaeriformes,holocephali,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
callorhinchus milii,ghost shark,callorhinchus,NA,callorhinchidae,chimaeriformes,holocephali,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
calophysus macropterus,zamurito,calophysus,NA,pimelodidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
calotomus carolinus,carolines parrotfish,calotomus,sparisomatinae,scaridae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
cambaridae,euro-american crayfishes nei,NA,NA,cambaridae,decapoda,malacostraca,NA,arthropoda,animalia,Freshwater crustaceans
campogramma glaycos,vadigo,campogramma,naucratinae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
cancer borealis,jonah crab,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cancer irroratus,atlantic rock crab,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cancer pagurus,edible crab,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cancer plebejus,chilean crab,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,NA
cancer porteri,boco,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,NA
cancer productus,pacific rock crab,cancer,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cancridae,lobsters nei,NA,NA,cancridae,decapoda,malacostraca,NA,arthropoda,animalia,"Lobsters, spiny-rock lobsters"
cantherhines,filefishes nei,cantherhines,NA,monacanthidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cantherhines macrocerus,american whitespotted filefish,cantherhines,NA,monacanthidae,tetraodontiformes,teleostei,osteichthyes,chordata,animalia,NA
cantherhines pullus,orangespotted filefish,cantherhines,NA,monacanthidae,tetraodontiformes,teleostei,osteichthyes,chordata,animalia,NA
canthidermis macrolepis,largescale triggerfish,canthidermis,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
canthidermis maculata,rough triggerfish,canthidermis,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
canthidermis sufflamen,ocean triggerfish,canthidermis,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
canthigaster rostrata,caribbean sharpnose-puffer,canthigaster,canthigasterinae,tetraodontidae,tetraodontiformes,teleostei,osteichthyes,chordata,animalia,NA
capoeta capoeta,seven khramulya,capoeta,barbinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
caprodon longimanus,pink maomao,caprodon,anthiadinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
caproidae,boarfishes nei,NA,NA,caproidae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
capromimus abbreviatus,capro dory,capromimus,NA,zeniontidae,zeiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
capros aper,boarfish,capros,NA,caproidae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
caquetaia kraussii,,caquetaia,cichlasomatinae,cichlidae,cichliformes,actinopterygii,osteichthyes,chordata,animalia,Tilapias and other cichlids
carangidae,carangids nei,NA,NA,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides,trevallies,carangoides,caranginae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
carangoides armatus,longfin trevally,carangoides,caranginae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
carangoides bajad,orangespotted trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides chrysophrys,longnose trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides coeruleopinnatus,coastal trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides fulvoguttatus,yellowspotted trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides malabaricus,malabar trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides orthogrammus,island trevally,carangoides,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carangoides talamparoides,imposter trevally,carangoides,caranginae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
caranx,"jacks, crevalles nei",caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx bartholomaei,yellow jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx caballus,green jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx caninus,pacific crevalle jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx crysos,blue runner,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx hippos,crevalle jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx ignobilis,giant trevally,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx latus,horse-eye jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx lugubris,black jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx melampygus,bluefin trevally,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx papuensis,brassy trevally,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx rhonchus,false scad,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx ruber,bar jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx senegallus,senegal jack,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx sexfasciatus,bigeye trevally,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
caranx tille,tille trevally,caranx,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
carassius,,carassius,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
carassius auratus,goldfish,carassius,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
carassius carassius,crucian carp,carassius,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
carassius gibelio,prussian carp,carassius,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
carcharhinidae,requiem sharks nei,NA,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhiniformes,ground sharks nei,NA,NA,NA,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus,carcharhinus sharks nei,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus acronotus,blacknose shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus albimarginatus,silvertip shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus altimus,bignose shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus amblyrhynchoides,graceful shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
carcharhinus amblyrhynchos,grey reef shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus amboinensis,pigeye shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus brachyurus,copper shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus brevipinna,spinner shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus dussumieri,whitecheek shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus falciformis,silky shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus fitzroyensis,creek whaler,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus galapagensis,galapagos shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
carcharhinus isodon,finetooth shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus leucas,bull shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus limbatus,blacktip shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus longimanus,oceanic whitetip shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus macloti,hardnose shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
carcharhinus melanopterus,blacktip reef shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
carcharhinus obscurus,dusky shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus perezii,caribbean reef shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus plumbeus,sandbar shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus porosus,smalltail shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus sealei,blackspot shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus signatus,night shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus sorrah,spottail shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharhinus tilstoni,australian blacktip shark,carcharhinus,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
carcharias taurus,sand tiger shark,carcharias,NA,carchariidae,lamniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcharodon carcharias,great white shark,carcharodon,NA,lamnidae,lamniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
carcinus aestuarii,mediterranean shore crab,carcinus,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
carcinus maenas,green crab,carcinus,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cardiidae,cockles nei,NA,NA,cardiidae,cardiida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
cardisoma guanhumi,giant land crab,cardisoma,NA,gecarcinidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
carditidae,cardita clams,NA,NA,carditidae,carditida,bivalvia,NA,mollusca,animalia,NA
careproctus,,careproctus,NA,liparidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
carlarius heudelotii,smoothmouth sea catfish,carlarius,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
carpilius corallinus,batwing coral crab,carpilius,NA,carpiliidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
cassidae,helmets shells nei,NA,NA,cassidae,neotaenioglossa,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
cathorops spixii,madamango sea catfish,cathorops,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
catostomidae,suckers nei,NA,NA,catostomidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
catostylus,,catostylus,NA,catostylidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,Miscellaneous aquatic invertebrates
catostylus mosaicus,mosaic sea jelly,catostylus,NA,catostylidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
catostylus perezi,banana jellyfish,catostylus,NA,catostylidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
caulolatilus,pacific and atlantic tilefishes,caulolatilus,NA,latilidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
caulolatilus affinis,bighead tilefish,caulolatilus,NA,latilidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
caulolatilus chrysops,atlantic goldeneye tilefish,caulolatilus,NA,latilidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
caulolatilus microps,grey tilefish,caulolatilus,NA,latilidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
caulolatilus princeps,ocean whitefish,caulolatilus,NA,latilidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centracanthus cirrus,curled picarel,centracanthus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centriscidae,snipefishes nei,NA,NA,centriscidae,syngnathiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centriscops humerosus,banded yellowfish,centriscops,macroramphosinae,centriscidae,syngnathiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centroberyx affinis,redfish,centroberyx,NA,berycidae,beryciformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centrolabrus exoletus,rock cook,centrolabrus,NA,labridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centrolophidae,"ruffs, barrelfishes nei",NA,NA,centrolophidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centrolophus niger,rudderfish,centrolophus,NA,centrolophidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
centrophorus,gulper sharks nei,centrophorus,NA,centrophoridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centrophorus granulosus,gulper shark,centrophorus,NA,centrophoridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centrophorus lusitanicus,lowfin gulper shark,centrophorus,NA,centrophoridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centrophorus squamosus,leafscale gulper shark,centrophorus,NA,centrophoridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centrophorus uyato,little gulper shark,centrophorus,NA,centrophoridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centropomidae,snooks,NA,NA,centropomidae,carangaria/misc,teleostei,osteichthyes,chordata,animalia,NA
centropomus,snooks(=robalos) nei,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus armatus,armed snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus ensiferus,swordspine snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus medius,blackfin snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus nigrescens,black snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus robalito,yellowfin snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus undecimalis,common snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropomus viridis,white snook,centropomus,NA,centropomidae,carangaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropristis philadelphica,rock sea bass,centropristis,serraninae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centropristis striata,black seabass,centropristis,serraninae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
centroscyllium fabricii,black dogfish,centroscyllium,NA,etmopteridae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroscymnus,,centroscymnus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroscymnus coelolepis,portuguese dogfish,centroscymnus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroscymnus crepidater,longnose velvet dogfish,centroscymnus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroscymnus owstonii,roughskin dogfish,centroscymnus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroscymnus plunketi,plunket shark,centroscymnus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
centroselachus crepidater,longnose velvet dogfish,centroselachus,NA,somniosidae,squaliformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
cephalopholis,,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis argus,peacock hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis aurantia,golden hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis boenak,chocolate hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis cruentata,graysby,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis fulva,coney,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis hemistiktos,yellowfin hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis igarashiensis,garish hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis miniata,coral hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis sexmaculata,sixblotch hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis sonnerati,tomato hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis taeniops,bluespotted seabass,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopholis urodeta,darkfin hind,cephalopholis,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
cephalopoda,cephalopods nei,NA,NA,NA,NA,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
cephaloscyllium isabella,draughtsboard shark,cephaloscyllium,NA,scyliorhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
cephea,cepheid jellyfishes,cephea,NA,cepheidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
cepola,bandfish,cepola,cepolinae,cepolidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
cepola macrophthalma,red bandfish,cepola,cepolinae,cepolidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
cerastoderma edule,common edible cockle,cerastoderma,NA,cardiidae,cardiida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
cerastoderma glaucum,olive green cockle,cerastoderma,NA,cardiidae,cardiida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
ceratoscopelus maderensis,madeira lantern fish,ceratoscopelus,lampanyctinae,myctophidae,myctophiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
cerithium vulgatum,common cerithe,cerithium,NA,cerithiidae,neotaenioglossa,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
cervimunida johni,blue squat lobster,cervimunida,NA,galatheidae,decapoda,malacostraca,NA,arthropoda,animalia,"King crabs, squat-lobsters"
cetengraulis edentulus,atlantic anchoveta,cetengraulis,engraulinae,engraulidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
cetengraulis mysticetus,pacific anchoveta,cetengraulis,engraulinae,engraulidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,"Herrings, sardines, anchovies"
cetorhinus maximus,basking shark,cetorhinus,NA,cetorhinidae,lamniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
