sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
alburnus chalcoides,danube bleak,alburnus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
alburnus tarichi,tarek,alburnus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
aldrichetta forsteri,yellow-eye mullet,aldrichetta,NA,mugilidae,mugiliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
alectis alexandrina,alexandria pompano,alectis,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
alectis ciliaris,african pompano,alectis,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
alectis indica,indian threadfish,alectis,caranginae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
alepes,crevalles,alepes,caranginae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
alepes djedaba,shrimp scad,alepes,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
alepisaurus,lancetfishes nei,alepisaurus,NA,alepisauridae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
alepisaurus ferox,long snouted lancetfish,alepisaurus,NA,alepisauridae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
alepocephalidae,slickheads,NA,NA,alepocephalidae,alepocephaliformes,teleostei,osteichthyes,chordata,animalia,NA
alepocephalus,slickheads nei,alepocephalus,NA,alepocephalidae,alepocephaliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
alepocephalus agassizii,agassiz slickhead,alepocephalus,NA,alepocephalidae,alepocephaliformes,teleostei,osteichthyes,chordata,animalia,NA
alepocephalus bairdii,baird's slickhead,alepocephalus,NA,alepocephalidae,alepocephaliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
